Name,EloRating,match_number
Alexander Flock,1665,132
Adam Kellner,1665,95
Louk Sorensen,1665,83
Shao Xuan Zeng,1665,59
Ivan Navarro,1665,147
Ti Chen,1664,99
Haithem Abid,1664,41
Laurent Recouderc,1664,138
Janez Semrajc,1663,97
Jiri Vanek,1663,120
Vladimir Voltchkov,1663,14
Dominik Hrbaty,1662,109
Ivan Dodig,1661,97
Benedikt Dorsch,1661,95
Timo Nieminen,1661,116
Yuri Schukin,1660,114
Sergio Gutierrez Ferrol,1660,133
Go Soeda,1660,122
Frederic Niemeyer,1660,64
Pavel Snobel,1659,106
Theodoros Angelinos,1659,43
Tsung Hua Yang,1659,85
Michael Yani,1659,126
Jean Yves Aubone,1659,31
Adrian Garcia,1658,54
Talal Ouahabi,1658,71
Martin Alund,1658,107
Dusan Lojda,1657,128
Juan Sebastian Cabal,1657,74
Guillermo Olaso,1657,158
Stefano Galvani,1657,104
Augustin Gensse,1656,84
Franco Ferreiro,1656,100
Tiago Lopes,1655,130
Alexandre Sidorenko,1655,123
James Lemke,1655,101
Eladio Ribeiro Neto,1655,118
Aldin Setkic,1655,115
Benjamin Balleret,1655,118
Lukas Rosol,1655,125
Daniel Evans,1655,98
Colin Ebelthite,1654,102
Guillermo Alcaide,1654,106
Brian Dabul,1654,130
Diego Hartfield,1654,61
Kristijan Mesaros,1653,110
Roko Karanusic,1653,122
Conor Niland,1653,130
Alex Bogdanovic,1653,127
Tobias Clemens,1652,40
Tobias Kamke,1652,103
Adam Chadaj,1652,43
Catalin Ionut Gard,1652,101
Thomas Schoorel,1651,72
Marcelo Demoliner,1651,109
Lester Cook,1651,117
Lionel Noviski,1650,75
Caio Zampieri,1650,99
Jonathan Dasnieres De Veigy,1649,120
Alexander Kudryavtsev,1649,115
Daniele Giorgini,1649,68
Jean Christophe Faurel,1649,68
James Ward,1648,123
Blaz Kavcic,1648,127
Andrey Kumantsov,1647,120
Malek Jaziri,1647,83
Flavio Cipolla,1647,127
Sascha Kloer,1646,41
Alejandro Fabbri,1646,147
Grigor Dimitrov,1646,85
Pierre Ludovic Duclos,1646,104
Petar Jelenic,1646,70
Dustin Brown,1645,115
Diego Alvarez,1645,133
Sherif Sabry,1645,81
Ruben Ramirez Hidalgo,1645,162
Facundo Bagnis,1645,113
Daniel Munoz De La Nava,1644,122
Miguel Gallardo Valles,1644,107
Valery Rudnev,1644,125
