Name,elo_overall,match_number,elo_hard,match_number_hard,elo_clay,match_number_clay,elo_grass,match_number_grass,previous_match
Yibing Wu,1861.0967665266883,175,1887.096493440599,120,1781.3631878699807,49,1509.7630839347369,6,2022-Rome CH-Yibing Wu-Ben Shelton
Marcel Granollers,1860.17290022095,727,1858.4816480454672,280,1877.9737135191663,252,1864.4858528699376,48,2019-Shanghai Masters-Vasek Pospisil-Marcel Granollers
Laslo Djere,1859.7011809528574,550,1789.1388036835965,147,2028.8204210028618,390,1538.8607355421714,13,2022-Bastad-Andrey Rublev-Laslo Djere
Jeffrey John Wolf,1859.531209470873,198,1931.4790481972175,177,1740.2905674700153,20,1347.8817574403465,1,2022-Rome CH-Yibing Wu-Jeffrey John Wolf
Stanislas Wawrinka,1858.3504138200246,730,2064.9277464223433,366,2013.433905945653,201,1771.7014765998517,48,2022-Bastad-Pablo Carreno Busta-Stanislas Wawrinka
Taro Daniel,1857.2990163730492,803,1943.6216998147054,322,1921.910318544667,457,1665.1400762245582,24,2022-Amersfoort CH-Bernabe Zapata Miralles-Taro Daniel
Alejandro Tabilo,1856.6259221916428,414,1854.6980342065913,166,1950.3450324040014,234,1538.955911822655,14,2022-Wimbledon-Miomir Kecmanovic-Alejandro Tabilo
Lorenzo Musetti,1856.059555642892,251,1879.139529317247,112,2028.813904335365,131,1404.618810829799,8,2022-Bastad-Laslo Djere-Lorenzo Musetti
Juan Pablo Varillas Patino Samudio,1855.0005505387728,510,1670.4150893747808,56,1952.8509052380975,450,1420.9845304600572,4,2022-Bastad-Federico Delbonis-Juan Pablo Varillas Patino Samudio
Bernabe Zapata Miralles,1851.06196735892,550,1781.7591509801641,182,1960.8258778853526,356,1687.057404674246,12,2022-Amersfoort CH-Roberto Carballes Baena-Bernabe Zapata Miralles
Janko Tipsarevic,1850.7846261712962,498,1935.9247519176602,223,1921.4310479123787,110,1803.755821606116,43,2019-Stockholm-Yuichi Sugita-Janko Tipsarevic
Pavel Kotov,1850.4709790805648,316,1865.341932375204,174,1907.4760061222075,133,1510.5137131981942,9,2022-Bastad-Federico Delbonis-Pavel Kotov
Hugo Dellien,1849.0047318339684,678,1661.5663119125657,57,1939.4094959155073,609,1371.870987907205,10,2022-Wimbledon-Alex De Minaur-Hugo Dellien
Pedro Cachin,1848.899233504528,616,1616.2920235779577,36,1936.182811169681,572,1513.316624798195,8,2022-Verona CH-Pedro Cachin-Marco Cecchinato
Arthur Rinderknech,1848.7138568807263,307,1934.0919419066456,186,1928.51034180038,109,1709.5963512900696,12,2022-Salzburg CH-Lukas Neumayer-Arthur Rinderknech
Jeremy Chardy,1848.2860914491187,739,1979.7341110589584,341,1936.2742278611095,213,1752.4727920207554,60,2021-US Open-Matteo Berrettini-Jeremy Chardy
Quentin Halys,1846.869854069902,606,1910.0081049824657,395,1865.657525813256,180,1723.5802025973148,31,2022-Newport-James Duckworth-Quentin Halys
Edouard Roger Vasselin,1845.9625693609082,554,1891.1083711944448,282,1863.6646462162207,103,1810.2865641990381,44,"2016-Czech Extraliga, RPM Ricany - LTK Liberec-Gerald Melzer-Edouard Roger Vasselin"
Nikoloz Basilashvili,1845.9035879246514,716,1947.6687647721844,365,1922.0912420918648,244,1767.742574664097,58,2022-Bastad-Hugo Gaston-Nikoloz Basilashvili
